SchoolCode,GPAcoef,ACTcoef,Intercept
H:145600,7.0146,0.5753,-31.2168
H:147703,6.4468,0.534,-26.7754
H:144740,4.9082,0.4345,-21.4926
H:145637,9.7249,0.4406,-42.4798
H:145813,4.5185,0.5404,-21.8117
H:149772,10.5568,0.5961,-35.366
H:147776,2.0666,0.5832,-13.7521
H:170301,9.0489,0.8307,-44.6151
H:148496,11.9183,1.1607,-53.1251
H:146427,8.3193,0.4826,-34.764
H:240444,5.2284,0.1851,-21.8419
H:150400,7.8763,0.3143,-32.6363
H:149222,3.3803,0.5366,-15.8703
H:147341,12.1537,0.4578,-37.4253
H:149231,6.2441,0.3367,-19.7419
H:239105,5.7259,0.5161,-29.6684
H:144892,9.2754,0.5462,-30.9701
H:146481,13.7098,0.8193,-59.4884
H:143358,7.2168,0.9922,-39.9326
H:148487,3.199,0.6273,-19.0716
H:202523,6.1876,0.3015,-27.9687
H:147767,7.6415,0.6536,-47.3853
H:144351,3.8973,0.5818,-18.7427
H:153834,7.2975,0.6387,-33.244
H:239628,12.571,0.7838,-48.9936
H:153144,12.3863,0.6209,-46.4968
H:144281,6.1413,0.5371,-24.619
H:145646,6.7268,0.8595,-41.5392
H:148654,5.1211,0.6271,-24.0121
H:153384,7.689,0.6684,-47.5919
H:146719,5.0103,0.4618,-25.8036
H:147244,2.6751,0.0939,-6.9168
H:170976,4.4312,0.207,-21.1608
H:238333,5.513,0.0293,-17.9672
H:145691,9.7815,0.6515,-39.3622
H:147679,8.1915,0.6155,-30.6327
H:153658,6.9024,0.5762,-30.0503
H:143084,5.724,0.4237,-25.5118
H:144962,5.8708,0.4633,-23.2417
H:152600,8.974,0.4637,-34.1436
H:153162,6.6617,0.3209,-24.1739
H:145725,9.0579,0.5223,-42.0089
H:146612,9.2614,0.3004,-28.1263
H:148627,9.1321,0.4718,-30.9823
H:202480,13.4649,1.1102,-60.3673
H:146676,6.7215,0.784,-26.3301
H:144005,5.8952,0.3936,-19.6077
H:126678,6.9146,0.4732,-38.3338
H:154350,6.8475,0.5522,-30.6625
H:164988,3.5804,1.5866,-56.2458
H:174844,9.1534,0.2524,-37.0401
H:206589,3.7102,0.2687,-17.7197
H:213385,11.4092,0.6017,-57.7968
H:152390,7.7519,0.083,-22.659
B:149772,7.0027,0.9057,-32.034
B:145813,5.6844,1.181,-37.7683
B:144892,6.5582,0.499,-23.6958
B:149222,2.6016,0.8612,-18.895
B:145600,5.952,0.5285,-27.9414
B:147703,3.2558,0.0788,-8.7402
B:145637,7.4579,0.4345,-34.3624
B:149231,5.7762,1.6144,-40.5128
B:153658,8.1285,0.8054,-37.7522
B:148654,3.8313,0.669,-20.5486
B:143358,3.7234,0.3064,-15.6694
B:150400,7.3481,0.2345,-29.6169
B:147341,3.9714,0.5533,-19.1594
B:144740,10.1613,0.5547,-37.3557
B:170301,13.6787,1.1113,-63.4463
B:152600,5.3304,0.7202,-28.0614
B:147244,6.7028,0.4388,-24.1329
B:146676,3.5386,0.6026,-16.2857
B:131520,2.5999,1.0921,-27.9347
B:148496,9.1088,1.3186,-48.5185
B:145691,7.849,-0.0232,-20.2722
B:147776,2.3232,0.8929,-20.285
B:146427,11.3988,1.0142,-55.7472
B:144005,7.3979,0.2086,-18.4284
B:170082,7.8331,0.6189,-33.441
B:144281,6.3894,0.2281,-18.9476
B:240444,5.3214,0.6505,-34.0741
B:145646,5.3566,0.7784,-35.5306
B:239105,3.3805,0.8551,-28.7115
B:153384,9.5226,0.9655,-58.9175
B:202480,2.827,0.5988,-19.1217
B:146612,5.3049,0.6124,-24.7843
B:170976,6.5909,0.3463,-30.5458
W:144281,6.1413,0.5371,-25.42465
W:146481,13.7098,0.8193,-61.54487
W:146427,8.3193,0.4826,-36.011895
W:145600,7.0146,0.5753,-31.2168
W:145637,9.7249,0.4406,-44.49275
